Origin,Year,Patent_Applications,Researchers in R&D (per million people),GDP per Capita (USD),Research and development expenditure (% of GDP),Unemployemnt total (% of total labor force) ,Country Code,gdp_growth,pop_growth,net_flow,edu_exp,stem_graduates
Belgium,2020,9665.0,5410.832,45906.2875805246,3.39175009727478,5.545,BEL,-5.30447,0.431,37680.0,7.467092990875244,17.583000421524048
Bulgaria,2020,517.0,2377.5557,10198.5388313404,0.849669992923737,5.125,BGR,-3.96616,-0.60024,-7891.0,5.337289810180664,19.505990028381355
Canada,2020,22172.0,5076.244,43537.839298904,1.93413996696472,9.657,CAN,-5.03823,1.08437,271935.0,,25.705470561981198
China,2020,1444419.0,1601.9221,10408.7195541075,2.40666007995605,5.0,CHN,2.23864,0.23804,-884224.0,,
Croatia,2020,205.0,2214.7751,14808.4620188819,1.22988998889923,7.507,HRV,-8.52044,-0.43321,-5264.0,4.790686130523682,28.493100643157963
Cyprus,2020,267.0,1739.8551,28649.015625,0.83653998374939,7.755,CYP,-3.4436,0.70557,-11530.0,7.691893100738525,13.111599683761597
Czechia,2020,1669.0,4194.9453,23472.8915454417,1.98599004745483,2.55,CZE,-5.50297,0.24322,35559.0,5.325141906738281,25.876010417938236
Denmark,2020,9761.0,7667.3037,60985.4885601514,2.97257995605469,5.637,DNK,-2.42451,0.29164,25443.0,9.240900993347168,23.006430149078362
Estonia,2020,223.0,3835.7188,23933.9939421065,1.75314998626709,6.956,EST,-0.96541,0.19756,1772.0,,27.476140022277832
Finland,2020,9416.0,7548.5024,48828.6846862799,2.91243004798889,7.759,FIN,-2.35497,0.14364,12594.0,7.351021766662598,27.940649986267086
France,2020,49702.0,4986.18,39169.8606000707,2.27464008331299,8.009,FRA,-7.54046,0.27135,143571.0,,25.889769554138187
Georgia,2020,115.0,1812.3901,4300.85701291207,0.297650009393692,11.73,GEO,-6.29047,0.06866,3900.0,,18.639299869537354
Germany,2020,136172.0,5413.824,47379.765194548,3.13136005401611,3.881,DEU,-3.82677,0.08169,245224.0,,35.82160949707031
Hungary,2020,1075.0,4308.954,16131.9540355923,1.59251999855042,4.25,HUN,-4.48705,-0.21507,24693.0,,15.499070167541504
Ireland,2020,5687.0,4858.6074,87567.1148972037,1.14550995826721,5.623,IRL,6.61719,1.02911,8962.0,,26.408210277557373
Italy,2020,26168.0,2632.2798,32091.4866621366,1.50660002231598,9.164,ITA,-8.97419,-0.4871,-26005.0,5.128846168518066,22.678090214729313
Japan,2020,418195.0,5495.251,40040.7655055923,3.2645800113678,2.809,JPN,-4.14712,-0.29419,189786.0,,
Kazakhstan,2020,918.0,686.1757,8781.50797787648,0.12601999938488,4.89,KAZ,-2.5,1.29864,-39159.0,,24.061539411544796
Latvia,2020,190.0,2135.0178,17564.2321549354,0.734390020370483,8.098,LVA,-3.5138,-0.70121,4857.0,5.629508018493652,19.33219003677368
Lithuania,2020,250.0,3590.7473,20541.824988603,1.13260996341705,8.487,LTU,-0.02461,0.02677,-3839.0,4.878952980041504,26.02806973457336
Luxembourg,2020,2142.0,4690.3027,116905.370396853,1.0958399772644,6.766,LUX,-0.90983,1.66636,-9111.0,4.011805057525635,19.243070602416992
Mexico,2020,1982.0,357.97888,8841.27075003163,0.291909992694855,4.44,MEX,-8.62456,0.72724,8557.0,,25.822950601577762
Netherlands,2020,24162.0,5865.7266,53467.9277413737,2.32182002067566,3.82,NLD,-3.88608,0.55554,105431.0,6.699065208435059,18.833219528198242
Panama,2020,82.0,167.62234,13290.5608347594,0.232350006699562,14.663,PAN,-17.66833,1.45105,371.0,,13.736829936504364
Poland,2020,5655.0,3238.2092,15987.5753654045,1.38608002662659,3.155,POL,-2.02007,-0.17506,35535.0,5.716433048248291,19.449419498443604
Portugal,2020,1516.0,5163.3535,22299.4044062173,1.61391997337341,6.801,PRT,-8.30052,0.10511,26139.0,6.220962047576904,27.824330091476437
Romania,2020,1082.0,940.54663,13082.3006559554,0.465380012989044,5.035,ROU,-3.67751,-0.55076,1018.0,3.608751058578491,29.09167003631592
Russia,2020,26945.0,2724.9072,10108.3271484375,1.09098994731903,5.62,RUS,-2.65365,-0.1432,396244.0,,
Serbia,2020,210.0,2149.8533,8098.70955668849,0.90557998418808,9.011,SRB,-0.90322,-0.66611,-3888.0,,30.46894979476929
Singapore,2020,7643.0,7224.748,61466.803676358,2.15626001358032,4.1,SGP,-3.8698,-0.3119,33304.0,,36.273940086364746
Slovakia,2020,447.0,3165.595,19735.4858280801,0.897729992866516,6.719,SVK,-3.32972,0.08577,-16713.0,5.438444137573242,22.1827392578125
Spain,2020,7758.0,3071.4482,27230.3599933583,1.40910005569458,15.532,ESP,-11.1673,0.4885,34950.0,6.341007232666016,20.807680130004886
Thailand,2020,1468.0,2023.8306,6985.64393892574,1.32817995548248,1.099,THA,-6.05004,0.23518,-8203.0,,
Turkey,2020,9353.0,1786.5171,8638.73903848102,1.36748003959656,13.148,TUR,1.85984,0.97039,133756.0,,15.212979674339298
Ukraine,2020,1654.0,846.2485,3709.76928710938,0.403180003166199,9.475,UKR,-3.7528,-0.60161,-8580.0,,24.254509687423706
United States,2020,470131.0,4451.7812,64411.3731779373,3.42466998100281,8.055,USA,-2.21347,0.969,848728.1875,7.402097225189209,19.55305004119873
Uruguay,2020,94.0,813.2379,15789.6857422214,0.67467999458313,10.413,URY,-7.3801,0.01974,-2530.0,,15.237219810485843
Uzbekistan,2020,379.0,426.82077,1978.28051860763,0.13850000500679,5.293,UZB,1.99559,1.92213,,,36.93201017379761
